t,Q05_S_p,Q25_S_p,Q50_S_p,Mean_S_p,Q75_S_p,Q95_S_p,Q05_I_p,Q25_I_p,Q50_I_p,Mean_I_p,Q75_I_p,Q95_I_p,Q05_I_v,Q25_I_v,Q50_I_v,Mean_I_v,Q75_I_v,Q95_I_v,Q05_Y_p,Q25_Y_p,Q50_Y_p,Mean_Y_p,Q75_Y_p,Q95_Y_p
10.0,0.18236481569058707,0.36235071467134644,0.4325937409144004,0.40290460344143847,0.47362885697042884,0.5100453698545064,0.04220041416673444,0.07575128462944515,0.12023209177100089,0.16057653496555102,0.20068346695382444,0.4324113820153982,3.9497826049569484,3.9541673583135166,3.959577078347928,3.96574048304378,3.9700496494717874,4.004020430577115,0.16102134929663708,0.1683534114841735,0.16974174534165481,0.16842609608386044,0.17051210168144612,0.17114545418745417
11.0,0.1306124088350212,0.3055038031057297,0.382002533248959,0.3545315351149664,0.43034361659358716,0.4715844752327088,0.050346640850607124,0.09177953933119415,0.1458558288733424,0.1866544167134776,0.2375533541277791,0.4790393884041353,4.211260469123527,4.217273960854001,4.225041744864074,4.232958624931775,4.2390885904737114,4.284425034945705,0.18475951920947095,0.19620693181502602,0.19856679692772436,0.1964319570799756,0.19959439443472254,0.2003920462484305
12.0,0.09572252912580878,0.2522174148344903,0.33610940595843275,0.31027092480714014,0.3895737082240914,0.43573420459357903,0.06177803242787591,0.10808539600372506,0.1719823062071808,0.2136096725007873,0.2775146458461214,0.5199359551447594,4.464879507340648,4.473031638375561,4.483485151643545,4.493431082318964,4.502389328201226,4.559753778842794,0.2085362572860564,0.22502808616454595,0.2288392793419533,0.2256746210049379,0.23033955593026673,0.23136085038412685
13.0,0.06761123208949833,0.20523926311461205,0.2894622687911801,0.26919444734185044,0.3482549693780774,0.4016591309376519,0.07320967800811358,0.13030374443949735,0.20406157123716334,0.24228716524461466,0.319457638803295,0.549340827302287,4.711054025613851,4.721924319711289,4.735839443176843,4.7476856972008745,4.760345073648632,4.8291452506709645,0.23214488772382216,0.25445112552470656,0.2601902449024536,0.25584604255958826,0.2624810101193755,0.2638659900923883
14.0,0.05193871003426961,0.16303533870191492,0.24703665182105006,0.23304842947058488,0.3112503004228665,0.3701560965987396,0.08720440256493747,0.15427161438111275,0.2353339675931411,0.27084544298936775,0.3577920116134564,0.5769161352759719,4.950277138792539,4.964235292065437,4.982195597436866,4.996178036190668,5.013517531518181,5.093862937545374,0.25556496962032427,0.28419316088138175,0.292192019025066,0.28663905296056524,0.2957123514982195,0.2976779304512579
15.0,0.03802143549100288,0.1300282975376932,0.21095639130182747,0.20206215024609375,0.2766117394337434,0.3410081649994661,0.10151318740209755,0.17844123136424758,0.267428563513756,0.2985636972195736,0.39150284941086005,0.597614852332169,5.182497698753662,5.200945506512064,5.223403398418641,5.239266719693474,5.260896318539274,5.353993978313085,0.27800801037808587,0.31375813907133165,0.32455737406617824,0.31776920761616884,0.3297214596033373,0.33255330169808844
16.0,0.03057875484104096,0.10399062019554295,0.18046382095693098,0.1756816905148888,0.24564749540978922,0.3165092052784856,0.11809275016522042,0.20538427665199285,0.2995095846811163,0.3253454186633451,0.4236954125389018,0.6204820745991723,5.409079757083555,5.432054698083316,5.459554265830193,5.477207990227215,5.5043863029546,5.608686976121146,0.2998183548724606,0.34312132445758214,0.3569750230170147,0.3489845959345069,0.3641307144967359,0.3683211011034876
17.0,0.023941397241205004,0.08108340659276733,0.14776797126929914,0.15110282656301582,0.21468412703478962,0.2934450383530864,0.13402408141749414,0.23454214879188412,0.3331341010702787,0.35356481968402304,0.45691354007650453,0.6397945809182273,5.630022813508718,5.658094863265842,5.6915283235644205,5.710358764577407,5.743360855869387,5.859191157504289,0.321337424739821,0.37213637467235555,0.38934087948698093,0.3800735201705172,0.3986611838510898,0.4046658492825478
18.0,0.02014412693344259,0.062499470276586096,0.12273170238627852,0.13069281658595802,0.18939334033804436,0.27186800443994974,0.15147916821135024,0.26060718960174356,0.36631747288204125,0.38054863057582683,0.48804693084465883,0.6583977772770454,5.845254645957968,5.879775610520006,5.918805366125989,5.939023947041519,5.977763918136239,6.104663887213618,0.34168427057359135,0.4003513839703063,0.42134457162701644,0.4108400158457034,0.4330533864965723,0.441368355278728
19.0,0.017708748901246824,0.05107323867719801,0.10002345393951928,0.11303300561572749,0.1658938751439951,0.2493045168902598,0.16999330838505522,0.2916312040091511,0.3983655741144916,0.4071464038620408,0.5160578171223218,0.673030823400887,6.0557591815068825,6.09702243480666,6.142911847941166,6.1634340788090745,6.208756392511191,6.345081125541035,0.3615337518258477,0.4278054760711877,0.45302075095426136,0.44111982956679185,0.4674088402177461,0.47814374845285607
