Sp,Lp,Ip,Sv,Iv
0.839934,0.109522,0.0505446,0.59948,0.40052
0.834771,0.109573,0.0556558,0.599502,0.400498
0.823175,0.110749,0.0660761,0.599518,0.400482
0.828385,0.10876,0.0628547,0.599527,0.400473
0.796425,0.113206,0.0903687,0.599536,0.400464
0.82834,0.107736,0.0639235,0.599528,0.400472
0.804155,0.110795,0.0850501,0.599537,0.400463
0.817429,0.107809,0.0747624,0.599533,0.400467
0.836189,0.10401,0.0598016,0.599534,0.400466
0.835978,0.103206,0.0608165,0.599545,0.400455
0.812613,0.106333,0.081054,0.599554,0.400446
0.848349,0.100481,0.0511698,0.59955,0.40045
0.852853,0.0989458,0.0482008,0.599564,0.400436
0.888377,0.0913339,0.0202886,0.599579,0.400421
0.870525,0.0972536,0.032221,0.599609,0.400391
0.872167,0.0962996,0.0315335,0.599629,0.400371
0.880639,0.0935494,0.0258111,0.599647,0.400353
0.865705,0.0976748,0.03662,0.599667,0.400333
0.857699,0.0990693,0.0432312,0.599678,0.400322
0.864035,0.0971013,0.0388633,0.599684,0.400316
0.851033,0.0995671,0.0494,0.599693,0.400307
0.847126,0.099685,0.0531894,0.599694,0.400306
0.852275,0.0980867,0.0496385,0.599693,0.400307
0.876394,0.092893,0.0307129,0.599694,0.400306
0.887562,0.0895636,0.0228744,0.599706,0.400294
0.898927,0.0856823,0.0153909,0.599721,0.400279
0.903594,0.0836433,0.0127628,0.59974,0.40026
0.902531,0.0839681,0.0135007,0.599758,0.400242
0.900481,0.0847003,0.0148187,0.599774,0.400226
0.891188,0.0883227,0.0204889,0.599788,0.400212
0.895831,0.0865182,0.0176508,0.599797,0.400203
0.908287,0.0817341,0.00997919,0.599807,0.400193
0.904771,0.0846607,0.0105684,0.59982,0.40018
