t,L,S,E,I_S,I_A,H,R,D,V,J,u_L,u_V,lockdownFlux,Doses
95.4475,0.00345106,0.35502,0.00687506,0.000628204,0.00887426,0.000255975,0.595385,0.00226443,0.0272514,0.0167355,-3.45E-07,0.00172724,1.38E+01,7.06E+02
95.63,0.00342561,0.355336,0.00683632,0.000624476,0.00881932,0.000254416,0.595082,0.00226524,0.0273619,0.0167416,-3.44E-07,0.00173075,1.37E+01,7.06E+02
95.8125,0.00340036,0.355652,0.0067979,0.000620779,0.00876485,0.00025287,0.594778,0.00226604,0.0274726,0.0167476,-3.44E-07,0.00173424,1.36E+01,7.07E+02
95.995,0.00337531,0.355969,0.00675979,0.000617113,0.00871082,0.000251337,0.594471,0.00226684,0.0275836,0.0167536,-3.43E-07,0.00173772,1.35E+01,7.07E+02
96.1775,0.00335048,0.356286,0.006722,0.000613478,0.00865725,0.000249817,0.594164,0.00226763,0.0276949,0.0167596,-3.42E-07,0.0017412,1.34E+01,7.07E+02
96.36,0.00332585,0.356603,0.00668451,0.000609872,0.00860413,0.000248309,0.593854,0.00226841,0.0278065,0.0167655,-3.41E-07,0.00174467,1.33E+01,7.07E+02
96.5425,0.00330141,0.356921,0.00664733,0.000606297,0.00855145,0.000246814,0.593544,0.0022692,0.0279183,0.0167714,-3.40E-07,0.00174813,1.32E+01,7.08E+02
96.725,0.00327718,0.357239,0.00661045,0.000602751,0.00849921,0.000245332,0.593231,0.00226997,0.0280304,0.0167773,-3.39E-07,0.00175158,1.31E+01,7.08E+02
96.9075,0.00325315,0.357557,0.00657388,0.000599235,0.00844741,0.000243862,0.592918,0.00227075,0.0281428,0.0167831,-3.38E-07,0.00175502,1.30E+01,7.08E+02
97.09,0.00322931,0.357875,0.0065376,0.000595747,0.00839604,0.000242404,0.592602,0.00227151,0.0282554,0.0167889,-3.38E-07,0.00175845,1.29E+01,7.08E+02
97.2725,0.00320567,0.358193,0.00650161,0.000592289,0.0083451,0.000240959,0.592286,0.00227228,0.0283684,0.0167947,-3.37E-07,0.00176187,1.28E+01,7.09E+02
97.455,0.00318222,0.358512,0.00646592,0.000588859,0.00829458,0.000239525,0.591968,0.00227303,0.0284816,0.0168004,-3.36E-07,0.00176529,1.27E+01,7.09E+02
97.6375,0.00315896,0.358831,0.00643052,0.000585457,0.00824448,0.000238103,0.591648,0.00227379,0.028595,0.0168061,-3.34E-07,0.00176869,1.26E+01,7.09E+02
97.82,0.00313589,0.35915,0.0063954,0.000582084,0.0081948,0.000236694,0.591328,0.00227454,0.0287088,0.0168118,-3.33E-07,0.00177209,1.25E+01,7.09E+02
98.0025,0.00311301,0.359469,0.00636057,0.000578738,0.00814553,0.000235296,0.591006,0.00227528,0.0288228,0.0168174,-3.32E-07,0.00177548,1.25E+01,7.10E+02
98.185,0.00309031,0.359788,0.00632602,0.00057542,0.00809667,0.000233909,0.590682,0.00227602,0.0289371,0.016823,-3.31E-07,0.00177886,1.24E+01,7.10E+02
98.3675,0.0030678,0.360107,0.00629175,0.000572129,0.00804822,0.000232534,0.590357,0.00227676,0.0290517,0.0168286,-3.30E-07,0.00178223,1.23E+01,7.10E+02
98.55,0.00304548,0.360427,0.00625776,0.000568865,0.00800016,0.000231171,0.590031,0.00227749,0.0291665,0.0168341,-3.29E-07,0.00178559,1.22E+01,7.10E+02
98.7325,0.00302333,0.360747,0.00622404,0.000565628,0.00795251,0.000229818,0.589703,0.00227822,0.0292816,0.0168396,-3.28E-07,0.00178894,1.21E+01,7.11E+02
98.915,0.00300136,0.361067,0.00619059,0.000562417,0.00790525,0.000228477,0.589375,0.00227894,0.029397,0.0168451,-3.26E-07,0.00179228,1.20E+01,7.11E+02
99.0975,0.00297957,0.361387,0.00615742,0.000559233,0.00785839,0.000227147,0.589045,0.00227966,0.0295126,0.0168505,-3.25E-07,0.00179562,1.19E+01,7.11E+02
99.28,0.00295796,0.361707,0.00612451,0.000556075,0.00781191,0.000225828,0.588713,0.00228038,0.0296285,0.0168559,-3.24E-07,0.00179895,1.18E+01,7.11E+02
99.4625,0.00293652,0.362027,0.00609186,0.000552943,0.00776582,0.00022452,0.588381,0.00228109,0.0297447,0.0168613,-3.23E-07,0.00180226,1.17E+01,7.12E+02
99.645,0.00291526,0.362348,0.00605948,0.000549837,0.0077201,0.000223223,0.588047,0.0022818,0.0298611,0.0168667,-3.21E-07,0.00180557,1.17E+01,7.12E+02
99.8275,0.00289416,0.362668,0.00602736,0.000546756,0.00767477,0.000221937,0.587712,0.0022825,0.0299778,0.016872,-3.20E-07,0.00180887,1.16E+01,7.12E+02
100.01,0.00287324,0.362989,0.0059955,0.0005437,0.00762981,0.000220661,0.587376,0.0022832,0.0300948,0.0168773,-3.19E-07,0.00181217,1.15E+01,7.12E+02
100.193,0.00285249,0.36331,0.00596389,0.000540669,0.00758522,0.000219395,0.587038,0.00228389,0.030212,0.0168826,-3.17E-07,0.00181545,1.14E+01,7.13E+02
100.375,0.0028319,0.363631,0.00593253,0.000537663,0.007541,0.00021814,0.586699,0.00228459,0.0303295,0.0168878,-3.16E-07,0.00181873,1.13E+01,7.13E+02
100.558,0.00281148,0.363952,0.00590143,0.000534681,0.00749714,0.000216896,0.58636,0.00228527,0.0304473,0.016893,-3.15E-07,0.00182199,1.12E+01,7.13E+02
100.74,0.00279123,0.364273,0.00587057,0.000531724,0.00745365,0.000215661,0.586019,0.00228596,0.0305653,0.0168982,-3.13E-07,0.00182525,1.12E+01,7.13E+02
100.923,0.00277114,0.364594,0.00583997,0.00052879,0.00741051,0.000214437,0.585677,0.00228663,0.0306836,0.0169034,-3.12E-07,0.0018285,1.11E+01,7.13E+02
101.105,0.00275121,0.364915,0.0058096,0.000525881,0.00736773,0.000213222,0.585333,0.00228731,0.0308022,0.0169085,-3.10E-07,0.00183174,1.10E+01,7.14E+02
101.288,0.00273144,0.365236,0.00577948,0.000522995,0.0073253,0.000212018,0.584989,0.00228798,0.030921,0.0169136,-3.09E-07,0.00183497,1.09E+01,7.14E+02
101.47,0.00271182,0.365558,0.0057496,0.000520133,0.00728322,0.000210824,0.584644,0.00228865,0.0310401,0.0169187,-3.07E-07,0.0018382,1.08E+01,7.14E+02
101.653,0.00269237,0.365879,0.00571996,0.000517294,0.00724148,0.000209639,0.584297,0.00228931,0.0311594,0.0169237,-3.06E-07,0.00184141,1.08E+01,7.14E+02
101.835,0.00267307,0.366201,0.00569055,0.000514477,0.00720009,0.000208464,0.58395,0.00228997,0.031279,0.0169287,-3.04E-07,0.00184462,1.07E+01,7.15E+02
102.018,0.00265393,0.366522,0.00566138,0.000511684,0.00715904,0.000207299,0.583601,0.00229063,0.0313989,0.0169337,-3.03E-07,0.00184782,1.06E+01,7.15E+02
102.2,0.00263494,0.366844,0.00563244,0.000508913,0.00711832,0.000206143,0.583251,0.00229128,0.031519,0.0169387,-3.01E-07,0.00185101,1.05E+01,7.15E+02
102.383,0.0026161,0.367165,0.00560373,0.000506165,0.00707794,0.000204996,0.582901,0.00229193,0.0316394,0.0169436,-3.00E-07,0.00185419,1.05E+01,7.15E+02
102.565,0.00259742,0.367487,0.00557525,0.000503439,0.00703788,0.000203859,0.582549,0.00229258,0.03176,0.0169485,-2.98E-07,0.00185736,1.04E+01,7.15E+02
102.747,0.00257888,0.367808,0.00554699,0.000500735,0.00699816,0.000202732,0.582196,0.00229322,0.0318809,0.0169534,-2.97E-07,0.00186053,1.03E+01,7.16E+02
102.93,0.00256049,0.36813,0.00551896,0.000498053,0.00695876,0.000201613,0.581842,0.00229386,0.032002,0.0169583,-2.95E-07,0.00186368,1.02E+01,7.16E+02
103.112,0.00254225,0.368452,0.00549115,0.000495392,0.00691968,0.000200503,0.581488,0.00229449,0.0321234,0.0169631,-2.94E-07,0.00186683,1.02E+01,7.16E+02
103.295,0.00252416,0.368773,0.00546356,0.000492753,0.00688092,0.000199403,0.581132,0.00229513,0.0322451,0.0169679,-2.92E-07,0.00186997,1.01E+01,7.16E+02
103.477,0.00250621,0.369095,0.00543619,0.000490135,0.00684248,0.000198311,0.580775,0.00229575,0.032367,0.0169727,-2.90E-07,0.0018731,1.00E+01,7.17E+02
103.66,0.0024884,0.369416,0.00540903,0.000487538,0.00680435,0.000197229,0.580418,0.00229638,0.0324891,0.0169775,-2.89E-07,0.00187622,9.95E+00,7.17E+02
103.842,0.00247073,0.369738,0.00538209,0.000484962,0.00676653,0.000196155,0.580059,0.002297,0.0326116,0.0169822,-2.87E-07,0.00187934,9.88E+00,7.17E+02
104.025,0.00245321,0.37006,0.00535536,0.000482407,0.00672902,0.00019509,0.579699,0.00229762,0.0327342,0.0169869,-2.86E-07,0.00188245,9.81E+00,7.17E+02
104.207,0.00243582,0.370381,0.00532884,0.000479872,0.00669181,0.000194033,0.579339,0.00229823,0.0328571,0.0169916,-2.84E-07,0.00188554,9.74E+00,7.17E+02
104.39,0.00241858,0.370703,0.00530253,0.000477357,0.0066549,1.93E-04,0.578978,0.00229884,0.0329803,0.0169963,-2.82E-07,0.00188863,9.67E+00,7.18E+02
104.572,0.00240147,0.371024,0.00527643,0.000474863,0.0066183,1.92E-04,0.578615,0.00229945,0.0331037,0.0170009,-2.81E-07,0.00189171,9.61E+00,7.18E+02
104.755,0.00238449,0.371346,0.00525053,0.000472388,0.00658199,1.91E-04,0.578252,0.00230006,0.0332274,0.0170055,-2.79E-07,0.00189479,9.54E+00,7.18E+02
104.937,0.00236765,0.371667,0.00522483,0.000469934,0.00654598,1.90E-04,0.577888,0.00230066,0.0333513,0.0170101,-2.77E-07,0.00189785,9.47E+00,7.18E+02
105.12,0.00235095,0.371989,0.00519934,0.000467499,0.00651026,1.89E-04,0.577524,0.00230126,0.0334755,0.0170147,-2.76E-07,0.00190091,9.40E+00,7.18E+02
105.302,0.00233438,0.37231,0.00517405,0.000465083,0.00647483,1.88E-04,0.577158,0.00230185,0.0335999,0.0170192,-2.74E-07,0.00190396,9.34E+00,7.19E+02
105.485,0.00231794,0.372632,0.00514895,0.000462687,0.00643968,1.87E-04,0.576791,0.00230244,0.0337246,0.0170238,-2.72E-07,0.001907,9.27E+00,7.19E+02
105.667,0.00230163,0.372953,0.00512406,0.00046031,0.00640482,1.86E-04,0.576424,0.00230303,0.0338495,0.0170283,-2.71E-07,0.00191003,9.21E+00,7.19E+02
105.85,0.00228545,0.373274,0.00509935,0.000457951,0.00637025,1.85E-04,0.576056,0.00230362,0.0339747,0.0170328,-2.69E-07,0.00191306,9.14E+00,7.19E+02
106.032,0.0022694,0.373595,0.00507484,0.000455612,0.00633595,1.84E-04,0.575687,0.0023042,0.0341001,0.0170372,-2.67E-07,0.00191607,9.08E+00,7.19E+02
106.215,0.00225347,0.373916,0.00505052,0.000453291,0.00630192,1.83E-04,0.575317,0.00230478,0.0342258,0.0170417,-2.66E-07,0.00191908,9.01E+00,7.20E+02
106.397,0.00223767,0.374237,0.00502639,0.000450988,0.00626818,1.82E-04,0.574947,0.00230536,0.0343517,0.0170461,-2.64E-07,0.00192208,8.95E+00,7.20E+02
106.58,0.002222,0.374558,0.00500245,0.000448704,0.0062347,1.81E-04,0.574575,0.00230593,0.0344778,0.0170505,-2.62E-07,0.00192507,8.89E+00,7.20E+02
106.762,0.00220645,0.374879,0.0049787,0.000446438,0.00620149,1.80E-04,0.574203,0.0023065,0.0346042,0.0170548,-2.60E-07,0.00192805,8.83E+00,7.20E+02
106.945,0.00219102,0.3752,0.00495513,0.00044419,0.00616855,1.79E-04,0.57383,0.00230707,0.0347308,0.0170592,-2.59E-07,0.00193103,8.76E+00,7.20E+02
107.127,0.00217572,0.375521,0.00493174,0.00044196,0.00613588,1.78E-04,0.573457,0.00230763,0.0348577,0.0170635,-2.57E-07,0.001934,8.70E+00,7.21E+02
107.31,0.00216053,0.375841,0.00490854,0.000439747,0.00610347,1.77E-04,0.573082,0.00230819,0.0349848,0.0170678,-2.55E-07,0.00193696,8.64E+00,7.21E+02
107.492,0.00214547,0.376162,0.00488552,0.000437552,0.00607132,1.76E-04,0.572707,0.00230875,0.0351122,0.0170721,-2.54E-07,0.00193991,8.58E+00,7.21E+02
107.675,0.00213052,0.376482,0.00486267,0.000435374,0.00603942,1.75E-04,0.572332,0.00230931,0.0352398,0.0170764,-2.52E-07,0.00194285,8.52E+00,7.21E+02
107.857,0.0021157,0.376802,0.00484,0.000433214,0.00600779,1.75E-04,0.571955,0.00230986,0.0353676,0.0170806,-2.50E-07,0.00194579,8.46E+00,7.21E+02
108.04,0.00210099,0.377123,0.00481751,0.00043107,0.0059764,1.74E-04,0.571578,0.00231041,0.0354957,0.0170848,-2.48E-07,0.00194871,8.40E+00,7.22E+02
108.222,0.00208639,0.377443,0.00479519,0.000428943,0.00594527,1.73E-04,0.5712,0.00231096,0.035624,0.0170891,-2.47E-07,0.00195163,8.35E+00,7.22E+02
108.405,0.00207191,0.377763,0.00477305,0.000426834,0.00591439,1.72E-04,0.570822,0.0023115,0.0357526,0.0170932,-2.45E-07,0.00195455,8.29E+00,7.22E+02
108.587,0.00205755,0.378082,0.00475108,0.00042474,0.00588375,1.71E-04,0.570442,0.00231205,0.0358814,0.0170974,-2.43E-07,0.00195745,8.23E+00,7.22E+02
108.77,0.00204329,0.378402,0.00472927,0.000422663,0.00585336,1.70E-04,0.570063,0.00231259,0.0360104,0.0171016,-2.41E-07,0.00196034,8.17E+00,7.22E+02
108.953,0.00202915,0.378722,0.00470764,0.000420603,0.00582321,1.69E-04,0.569682,0.00231312,0.0361397,0.0171057,-2.40E-07,0.00196323,8.12E+00,7.22E+02
109.135,0.00201512,0.379041,0.00468617,0.000418559,0.0057933,1.69E-04,0.569301,0.00231366,0.0362692,0.0171098,-2.38E-07,0.00196611,8.06E+00,7.23E+02
109.317,0.0020012,0.37936,0.00466486,0.00041653,0.00576363,1.68E-04,0.568919,0.00231419,0.0363989,0.0171139,-2.36E-07,0.00196898,8.00E+00,7.23E+02
109.5,0.0019874,0.37968,0.00464373,0.000414518,0.00573419,1.67E-04,0.568537,0.00231472,0.0365289,0.0171179,-2.35E-07,0.00197185,7.95E+00,7.23E+02
109.682,0.00197369,0.379999,0.00462275,0.000412521,0.00570499,1.66E-04,0.568154,0.00231524,0.0366591,0.017122,-2.33E-07,0.0019747,7.89E+00,7.23E+02
109.865,0.0019601,0.380318,0.00460193,0.00041054,0.00567603,1.65E-04,0.56777,0.00231576,0.0367895,0.017126,-2.31E-07,0.00197755,7.84E+00,7.23E+02
110.047,0.00194661,0.380636,0.00458128,0.000408575,0.00564729,1.64E-04,0.567386,0.00231628,0.0369202,0.01713,-2.29E-07,0.00198039,7.79E+00,7.24E+02
110.23,0.00193323,0.380955,0.00456078,0.000406625,0.00561878,1.64E-04,0.567001,0.0023168,0.0370511,0.017134,-2.28E-07,0.00198323,7.73E+00,7.24E+02
110.412,0.00191996,0.381273,0.00454045,0.00040469,0.0055905,1.63E-04,0.566615,0.00231732,0.0371823,0.017138,-2.26E-07,0.00198605,7.68E+00,7.24E+02
110.595,0.00190679,0.381592,0.00452026,0.00040277,0.00556244,1.62E-04,0.566229,0.00231783,0.0373136,0.017142,-2.24E-07,0.00198887,7.63E+00,7.24E+02
110.778,0.00189372,0.38191,0.00450024,0.000400865,0.0055346,1.61E-04,0.565843,0.00231834,0.0374452,0.0171459,-2.22E-07,0.00199168,7.57E+00,7.24E+02
110.96,0.00188075,0.382228,0.00448036,0.000398975,0.00550699,1.60E-04,0.565456,0.00231885,0.037577,0.0171498,-2.21E-07,0.00199448,7.52E+00,7.24E+02
111.142,0.00186788,0.382545,0.00446064,0.0003971,0.00547959,1.60E-04,0.565068,0.00231936,0.0377091,0.0171537,-2.19E-07,0.00199727,7.47E+00,7.25E+02
111.325,0.00185512,0.382863,0.00444107,0.000395239,0.00545241,1.59E-04,0.56468,0.00231986,0.0378414,0.0171576,-2.17E-07,0.00200006,7.42E+00,7.25E+02
111.507,0.00184246,0.38318,0.00442165,0.000393393,0.00542544,1.58E-04,0.564291,0.00232036,0.0379739,0.0171615,-2.15E-07,0.00200284,7.37E+00,7.25E+02
111.69,0.00182989,0.383498,0.00440237,0.000391561,0.00539869,1.57E-04,0.563902,0.00232086,0.0381066,0.0171654,-2.14E-07,0.00200561,7.32E+00,7.25E+02
111.873,0.00181742,0.383815,0.00438325,0.000389743,0.00537215,1.57E-04,0.563512,0.00232135,0.0382396,0.0171692,-2.12E-07,0.00200837,7.27E+00,7.25E+02
112.055,0.00180505,0.384132,0.00436427,0.00038794,0.00534582,1.56E-04,0.563122,0.00232185,0.0383727,0.017173,-2.10E-07,0.00201113,7.22E+00,7.25E+02
112.237,0.00179278,0.384448,0.00434543,0.00038615,0.00531969,1.55E-04,0.562731,0.00232234,0.0385062,0.0171768,-2.09E-07,0.00201387,7.17E+00,7.26E+02
112.42,0.0017806,0.384765,0.00432674,0.000384374,0.00529377,1.54E-04,0.56234,0.00232283,0.0386398,0.0171806,-2.07E-07,0.00201661,7.12E+00,7.26E+02
112.602,0.00176852,0.385081,0.00430819,0.000382612,0.00526806,1.54E-04,0.561948,0.00232331,0.0387736,0.0171844,-2.05E-07,0.00201934,7.07E+00,7.26E+02
112.785,0.00175653,0.385397,0.00428979,0.000380864,0.00524254,1.53E-04,0.561556,0.0023238,0.0389077,0.0171881,-2.03E-07,0.00202207,7.03E+00,7.26E+02
112.968,0.00174464,0.385713,0.00427152,0.000379129,0.00521723,1.52E-04,0.561163,0.00232428,0.039042,0.0171919,-2.02E-07,0.00202479,6.98E+00,7.26E+02
113.15,0.00173283,0.386029,0.00425339,0.000377408,0.00519212,1.51E-04,0.56077,0.00232476,0.0391765,0.0171956,-2.00E-07,0.0020275,6.93E+00,7.26E+02
113.332,0.00172112,0.386344,0.0042354,0.000375699,0.0051672,1.51E-04,0.560376,0.00232524,0.0393113,0.0171993,-1.98E-07,0.0020302,6.88E+00,7.27E+02
113.515,0.00170951,0.38666,0.00421754,0.000374004,0.00514248,1.50E-04,0.559982,0.00232571,0.0394463,0.017203,-1.97E-07,0.00203289,6.84E+00,7.27E+02
113.698,0.00169798,0.386975,0.00419982,0.000372322,0.00511795,1.49E-04,0.559587,0.00232618,0.0395814,0.0172067,-1.95E-07,0.00203558,6.79E+00,7.27E+02
113.88,0.00168654,0.38729,0.00418224,0.000370653,0.00509361,1.49E-04,0.559192,0.00232665,0.0397168,0.0172103,-1.93E-07,0.00203826,6.75E+00,7.27E+02
114.062,0.00167519,0.387604,0.00416479,0.000368997,0.00506947,1.48E-04,0.558797,0.00232712,0.0398525,0.0172139,-1.92E-07,0.00204093,6.70E+00,7.27E+02
114.245,0.00166393,0.387919,0.00414747,0.000367354,0.00504551,1.47E-04,0.558401,0.00232759,0.0399883,0.0172176,-1.90E-07,0.00204359,6.66E+00,7.27E+02
114.427,0.00165275,0.388233,0.00413028,0.000365723,0.00502174,1.47E-04,0.558005,0.00232805,0.0401243,0.0172212,-1.88E-07,0.00204625,6.61E+00,7.27E+02
114.61,0.00164167,0.388547,0.00411322,0.000364105,0.00499816,1.46E-04,0.557608,0.00232852,0.0402606,0.0172248,-1.86E-07,0.0020489,6.57E+00,7.28E+02
114.793,0.00163066,0.388861,0.00409629,0.000362499,0.00497475,1.45E-04,0.557211,0.00232898,0.0403971,0.0172284,-1.85E-07,0.00205154,6.52E+00,7.28E+02
114.975,0.00161975,0.389174,0.00407949,0.000360906,0.00495154,1.45E-04,0.556813,0.00232943,0.0405338,0.0172319,-1.83E-07,0.00205417,6.48E+00,7.28E+02
115.157,0.00160892,0.389487,0.00406282,0.000359324,0.0049285,1.44E-04,0.556416,0.00232989,0.0406707,0.0172355,-1.81E-07,0.0020568,6.44E+00,7.28E+02
115.34,0.00159817,0.3898,0.00404627,0.000357755,0.00490564,1.43E-04,0.556017,0.00233034,0.0408078,0.017239,-1.80E-07,0.00205942,6.39E+00,7.28E+02
115.523,0.00158751,0.390113,0.00402985,0.000356198,0.00488296,1.43E-04,0.555619,0.00233079,0.0409452,0.0172425,-1.78E-07,0.00206203,6.35E+00,7.28E+02
115.705,0.00157693,0.390426,0.00401355,0.000354653,0.00486046,1.42E-04,0.55522,0.00233124,0.0410827,0.017246,-1.77E-07,0.00206463,6.31E+00,7.29E+02
115.888,0.00156643,0.390738,0.00399737,0.000353119,0.00483813,1.41E-04,0.55482,0.00233169,0.0412205,0.0172495,-1.75E-07,0.00206723,6.27E+00,7.29E+02
116.07,0.00155601,0.39105,0.00398131,0.000351598,0.00481597,1.41E-04,0.554421,0.00233214,0.0413584,0.017253,-1.73E-07,0.00206982,6.22E+00,7.29E+02
116.252,0.00154567,0.391362,0.00396538,0.000350087,0.00479399,1.40E-04,0.554021,0.00233258,0.0414966,0.0172565,-1.72E-07,0.0020724,6.18E+00,7.29E+02
116.435,0.00153542,0.391674,0.00394957,0.000348589,0.00477218,1.39E-04,0.55362,0.00233302,0.041635,0.0172599,-1.70E-07,0.00207498,6.14E+00,7.29E+02
116.618,0.00152524,0.391985,0.00393387,0.000347102,0.00475053,1.39E-04,0.55322,0.00233346,0.0417736,0.0172634,-1.68E-07,0.00207754,6.10E+00,7.29E+02
116.8,0.00151514,0.392296,0.00391829,0.000345626,0.00472906,1.38E-04,0.552818,0.0023339,0.0419124,0.0172668,-1.67E-07,0.0020801,6.06E+00,7.29E+02
116.983,0.00150512,0.392607,0.00390283,0.000344161,0.00470775,1.38E-04,0.552417,0.00233434,0.0420514,0.0172702,-1.65E-07,0.00208266,6.02E+00,7.30E+02
117.165,0.00149518,0.392917,0.00388749,0.000342708,0.0046866,1.37E-04,0.552015,0.00233477,0.0421907,0.0172736,-1.63E-07,0.0020852,5.98E+00,7.30E+02
117.347,0.00148531,0.393228,0.00387226,0.000341265,0.00466562,1.36E-04,0.551613,0.0023352,0.0423301,0.017277,-1.62E-07,0.00208774,5.94E+00,7.30E+02
117.53,0.00147552,0.393538,0.00385714,0.000339834,0.0046448,1.36E-04,0.551211,0.00233563,0.0424697,0.0172804,-1.60E-07,0.00209027,5.90E+00,7.30E+02
117.713,0.00146581,0.393848,0.00384214,0.000338413,0.00462414,1.35E-04,0.550808,0.00233606,0.0426096,0.0172837,-1.59E-07,0.00209279,5.86E+00,7.30E+02
117.895,0.00145617,0.394157,0.00382725,0.000337004,0.00460364,1.35E-04,0.550405,0.00233649,0.0427496,0.017287,-1.57E-07,0.00209531,5.82E+00,7.30E+02
118.078,0.00144661,0.394466,0.00381248,0.000335605,0.0045833,1.34E-04,0.550002,0.00233691,0.0428898,0.0172904,-1.55E-07,0.00209782,5.79E+00,7.30E+02
118.26,0.00143712,0.394775,0.00379781,0.000334216,0.00456311,1.33E-04,0.549599,0.00233734,0.0430303,0.0172937,-1.54E-07,0.00210032,5.75E+00,7.30E+02
118.443,0.0014277,0.395084,0.00378325,0.000332838,0.00454308,1.33E-04,0.549195,0.00233776,0.0431709,0.017297,-1.52E-07,0.00210281,5.71E+00,7.31E+02
118.625,0.00141836,0.395392,0.0037688,0.000331471,0.00452321,1.32E-04,0.548791,0.00233818,0.0433118,0.0173003,-1.51E-07,0.0021053,5.67E+00,7.31E+02
118.808,0.00140908,0.395701,0.00375446,0.000330114,0.00450348,1.32E-04,0.548387,0.00233859,0.0434528,0.0173036,-1.49E-07,0.00210778,5.64E+00,7.31E+02
118.99,0.00139988,0.396008,0.00374023,0.000328767,0.00448391,1.31E-04,0.547982,0.00233901,0.0435941,0.0173068,-1.48E-07,0.00211025,5.60E+00,7.31E+02
119.172,0.00139075,0.396316,0.00372611,0.00032743,0.00446449,1.31E-04,0.547577,0.00233942,0.0437355,0.0173101,-1.46E-07,0.00211272,5.56E+00,7.31E+02
119.355,0.00138169,0.396623,0.00371208,0.000326104,0.00444522,1.30E-04,0.547172,0.00233983,0.0438772,0.0173133,-1.44E-07,0.00211517,5.53E+00,7.31E+02
119.538,0.0013727,0.39693,0.00369817,0.000324787,0.00442609,1.30E-04,0.546767,0.00234025,0.044019,0.0173166,-1.43E-07,0.00211763,5.49E+00,7.31E+02
119.72,0.00136378,0.397237,0.00368436,0.00032348,0.00440711,1.29E-04,0.546361,0.00234065,0.044161,0.0173198,-1.41E-07,0.00212007,5.46E+00,7.31E+02
119.903,0.00135493,0.397543,0.00367065,0.000322184,0.00438828,1.28E-04,0.545955,0.00234106,0.0443033,0.017323,-1.40E-07,0.00212251,5.42E+00,7.32E+02
120.085,0.00134615,0.39785,0.00365704,0.000320897,0.00436959,1.28E-04,0.545549,0.00234147,0.0444457,0.0173262,-1.38E-07,0.00212493,5.38E+00,7.32E+02
120.268,0.00133743,0.398155,0.00364353,0.000319619,0.00435105,1.27E-04,0.545143,0.00234187,0.0445883,0.0173294,-1.37E-07,0.00212736,5.35E+00,7.32E+02
120.45,0.00132878,0.398461,0.00363013,0.000318352,0.00433264,1.27E-04,0.544736,0.00234227,0.0447311,0.0173325,-1.35E-07,0.00212977,5.32E+00,7.32E+02
120.633,0.0013202,0.398766,0.00361683,0.000317094,0.00431438,1.26E-04,0.54433,0.00234267,0.0448741,0.0173357,-1.34E-07,0.00213218,5.28E+00,7.32E+02
120.815,0.00131168,0.399071,0.00360362,0.000315845,0.00429626,1.26E-04,0.543923,0.00234307,0.0450174,0.0173388,-1.32E-07,0.00213458,5.25E+00,7.32E+02
120.998,0.00130323,0.399376,0.00359051,0.000314606,0.00427827,1.25E-04,0.543516,0.00234347,0.0451607,0.017342,-1.31E-07,0.00213697,5.21E+00,7.32E+02
121.18,0.00129484,0.39968,0.0035775,0.000313376,0.00426042,1.25E-04,0.543108,0.00234386,0.0453043,0.0173451,-1.29E-07,0.00213936,5.18E+00,7.32E+02
121.363,0.00128652,0.399984,0.00356459,0.000312155,0.00424271,1.24E-04,0.542701,0.00234426,0.0454481,0.0173482,-1.28E-07,0.00214174,5.15E+00,7.33E+02
121.545,0.00127826,0.400288,0.00355177,0.000310944,0.00422514,1.24E-04,0.542293,0.00234465,0.0455921,0.0173513,-1.26E-07,0.00214411,5.11E+00,7.33E+02
121.728,0.00127007,0.400591,0.00353905,0.000309741,0.00420769,1.23E-04,0.541885,0.00234504,0.0457362,0.0173544,-1.25E-07,0.00214648,5.08E+00,7.33E+02
121.91,0.00126194,0.400894,0.00352642,0.000308548,0.00419038,1.23E-04,0.541477,0.00234543,0.0458806,0.0173575,-1.23E-07,0.00214884,5.05E+00,7.33E+02
122.093,0.00125387,0.401197,0.00351389,0.000307364,0.0041732,1.22E-04,0.541069,0.00234582,0.0460251,0.0173605,-1.22E-07,0.00215119,5.02E+00,7.33E+02
122.275,0.00124586,0.4015,0.00350145,0.000306188,0.00415616,1.22E-04,0.54066,0.0023462,0.0461698,0.0173636,-1.20E-07,0.00215353,4.98E+00,7.33E+02
122.458,0.00123792,0.401802,0.0034891,0.000305021,0.00413924,1.21E-04,0.540252,0.00234659,0.0463147,0.0173666,-1.19E-07,0.00215587,4.95E+00,7.33E+02
122.64,0.00123003,0.402104,0.00347685,0.000303863,0.00412245,1.21E-04,0.539843,0.00234697,0.0464598,0.0173697,-1.17E-07,0.0021582,4.92E+00,7.33E+02
122.823,0.00122221,0.402405,0.00346468,0.000302714,0.00410579,1.20E-04,0.539434,0.00234735,0.0466051,0.0173727,-1.16E-07,0.00216052,4.89E+00,7.33E+02
123.005,0.00121444,0.402707,0.00345261,0.000301573,0.00408925,1.20E-04,0.539025,0.00234773,0.0467506,0.0173757,-1.15E-07,0.00216284,4.86E+00,7.34E+02
123.188,0.00120674,0.403007,0.00344062,0.000300441,0.00407284,1.19E-04,0.538616,0.00234811,0.0468962,0.0173787,-1.13E-07,0.00216515,4.83E+00,7.34E+02
123.37,0.00119909,0.403308,0.00342873,0.000299318,0.00405655,1.19E-04,0.538206,0.00234849,0.047042,0.0173817,-1.12E-07,0.00216745,4.80E+00,7.34E+02
